"";"Deaths";"Crude.Rate"
"Mississippi-2008";409;13,875
"Mississippi-2009";381;12,877
"Mississippi-2010";388;13,076
"Mississippi-2011";389;13,062
"Mississippi-2012";410;13,736
"Mississippi-2013";388;12,974
"Mississippi-2014";380;12,699
"Mississippi-2015";429;14,351
"Mississippi-2016";383;12,815
"Missouri-1990";708;13,829
"Missouri-1991";714;13,801
"Missouri-1992";626;11,996
"Missouri-1993";672;12,744
"Missouri-1994";728;13,668
"Missouri-1995";721;13,402
"Missouri-1996";760;13,986
"Missouri-1997";710;12,948
"Missouri-1998";698;12,634
"Missouri-1999";700;12,586
"Missouri-2000";699;12,493
"Missouri-2001";721;12,781
"Missouri-2002";691;12,177
"Missouri-2003";677;11,858
"Missouri-2004";712;12,387
"Missouri-2005";722;12,469
"Missouri-2006";796;13,624
"Missouri-2007";807;13,707
"Missouri-2008";778;13,133
"Missouri-2009";857;14,377
"Missouri-2010";856;14,293
"Missouri-2011";933;15,522
"Missouri-2012";913;15,152
"Missouri-2013";959;15,87
"Missouri-2014";1016;16,763
"Missouri-2015";1050;17,281
"Missouri-2016";1133;18,595
"Montana-1990";167;20,907
"Montana-1991";161;19,878
"Montana-1992";153;18,526
"Montana-1993";155;18,344
"Montana-1994";158;18,341
"Montana-1995";201;22,922
"Montana-1996";174;19,631
"Montana-1997";183;20,559
"Montana-1998";158;17,7
"Montana-1999";162;18,05
"Montana-2000";158;17,513
"Montana-2001";175;19,295
"Montana-2002";184;20,183
"Montana-2003";180;19,573
"Montana-2004";175;18,817
"Montana-2005";206;21,913
"Montana-2006";189;19,839
"Montana-2007";196;20,317
"Montana-2008";203;20,79
"Montana-2009";218;22,155
"Montana-2010";225;22,741
"Montana-2011";232;23,251
"Montana-2012";233;23,18
"Montana-2013";243;23,957
"Montana-2014";250;24,441
"Montana-2015";271;26,258
"Montana-2016";267;25,611
"Nebraska-1990";220;13,941
"Nebraska-1991";191;11,962
"Nebraska-1992";188;11,661
"Nebraska-1993";171;10,514
"Nebraska-1994";188;11,465
"Nebraska-1995";187;11,281
"Nebraska-1996";189;11,287
"Nebraska-1997";176;10,434
"Nebraska-1998";204;12,025
"Nebraska-1999";177;10,383
"Nebraska-2000";193;11,278
"Nebraska-2001";187;10,873
"Nebraska-2002";201;11,63
"Nebraska-2003";176;10,123
"Nebraska-2004";166;9,489
"Nebraska-2005";187;10,616
"Nebraska-2006";202;11,395
"Nebraska-2007";181;10,149
"Nebraska-2008";190;10,577
"Nebraska-2009";170;9,378
"Nebraska-2010";192;10,513
"Nebraska-2011";192;10,422
"Nebraska-2012";231;12,448
"Nebraska-2013";220;11,774
"Nebraska-2014";251;13,343
"Nebraska-2015";223;11,775
"Nebraska-2016";246;12,899
"Nevada-1990";294;24,44
"Nevada-1991";319;24,606
"Nevada-1992";329;24,33
"Nevada-1993";323;22,882
"Nevada-1994";341;22,737
"Nevada-1995";395;24,969
"Nevada-1996";335;20,096
"Nevada-1997";411;23,293
"Nevada-1998";397;21,412
"Nevada-1999";404;20,882
"Nevada-2000";400;20,017
"Nevada-2001";387;18,443
"Nevada-2002";423;19,459
"Nevada-2003";432;19,21
"Nevada-2004";440;18,754
"Nevada-2005";480;19,736
"Nevada-2006";485;19,226
"Nevada-2007";471;18,108
"Nevada-2008";526;19,822
"Nevada-2009";503;18,736
"Nevada-2010";546;20,218
"Nevada-2011";516;18,982
"Nevada-2012";524;19,037
"Nevada-2013";541;19,415
"Nevada-2014";572;20,191
"Nevada-2015";558;19,35
"Nevada-2016";650;22,108
"New Hampshire-1990";149;13,435
"New Hampshire-1991";130;11,71
"New Hampshire-1992";137;12,254
"New Hampshire-1993";144;12,748
"New Hampshire-1994";137;11,99
"New Hampshire-1995";137;11,836
"New Hampshire-1996";137;11,661
"New Hampshire-1997";136;11,435
"New Hampshire-1998";154;12,768
"New Hampshire-1999";137;11,211
"New Hampshire-2000";130;10,52
"New Hampshire-2001";166;13,222
"New Hampshire-2002";132;10,401
"New Hampshire-2003";158;12,345
"New Hampshire-2004";133;10,309
"New Hampshire-2005";162;12,476
"New Hampshire-2006";151;11,541
"New Hampshire-2007";157;11,962
"New Hampshire-2008";179;13,603
"New Hampshire-2009";166;12,613
"New Hampshire-2010";196;14,888
"New Hampshire-2011";198;15,017
"New Hampshire-2012";201;15,214
